# Absorcion de rayos X cerca del borde
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:14 UTC
# comando: olla-dft xanes Si8.cif --collect -o run --element Si --edge K --format png
# parámetros: elemento = Si; borde = K; xgamma_eV = 0.8
#       E-EF(eV)           sigma         sigma_x         sigma_y         sigma_z
      6.216216       0.004372       0.004372       0.004372       0.004372
      6.256256       0.004363       0.004362       0.004363       0.004362
      6.296296       0.004354       0.004354       0.004354       0.004354
      6.336336       0.004348       0.004348       0.004348       0.004348
      6.376376       0.004343       0.004343       0.004343       0.004342
      6.416416       0.004339       0.004339       0.004339       0.004338
      6.456456       0.004336       0.004336       0.004336       0.004336
      6.496497       0.004334       0.004334       0.004334       0.004333
      6.536537       0.004332       0.004332       0.004332       0.004332
      6.576577       0.004331       0.004331       0.004331       0.004331
      6.616617       0.004330       0.004330       0.004330       0.004330
      6.656657       0.004328       0.004329       0.004328       0.004328
      6.696697       0.004326       0.004327       0.004326       0.004326
      6.736737       0.004323       0.004324       0.004323       0.004323
      6.776777       0.004319       0.004320       0.004319       0.004319
      6.816817       0.004314       0.004314       0.004314       0.004314
      6.856857       0.004307       0.004307       0.004307       0.004307
      6.896897       0.004299       0.004299       0.004299       0.004299
      6.936937       0.004289       0.004289       0.004289       0.004289
      6.976977       0.004278       0.004278       0.004278       0.004278
      7.017017       0.004266       0.004265       0.004266       0.004266
      7.057057       0.004252       0.004252       0.004252       0.004252
      7.097097       0.004237       0.004237       0.004238       0.004238
      7.137137       0.004222       0.004221       0.004222       0.004222
      7.177177       0.004206       0.004205       0.004206       0.004206
      7.217217       0.004189       0.004189       0.004190       0.004190
      7.257257       0.004173       0.004172       0.004173       0.004173
      7.297297       0.004157       0.004156       0.004157       0.004157
      7.337337       0.004141       0.004140       0.004141       0.004141
      7.377377       0.004125       0.004125       0.004125       0.004125
      7.417417       0.004110       0.004110       0.004111       0.004110
      7.457457       0.004096       0.004096       0.004097       0.004096
      7.497497       0.004084       0.004084       0.004084       0.004084
      7.537538       0.004072       0.004072       0.004072       0.004072
      7.577578       0.004061       0.004062       0.004061       0.004061
      7.617618       0.004052       0.004052       0.004051       0.004052
      7.657658       0.004043       0.004044       0.004043       0.004043
      7.697698       0.004036       0.004037       0.004036       0.004036
      7.737738       0.004030       0.004031       0.004030       0.004030
      7.777778       0.004025       0.004026       0.004024       0.004025
      7.817818       0.004021       0.004022       0.004020       0.004020
      7.857858       0.004017       0.004018       0.004016       0.004017
      7.897898       0.004014       0.004014       0.004013       0.004013
      7.937938       0.004011       0.004011       0.004010       0.004010
      7.977978       0.004008       0.004008       0.004007       0.004007
      8.018018       0.004004       0.004005       0.004004       0.004004
      8.058058       0.004001       0.004001       0.004001       0.004001
      8.098098       0.003997       0.003997       0.003998       0.003997
      8.138138       0.003993       0.003992       0.003993       0.003993
      8.178178       0.003988       0.003987       0.003989       0.003988
      8.218218       0.003982       0.003981       0.003983       0.003982
      8.258258       0.003975       0.003974       0.003976       0.003975
      8.298298       0.003967       0.003966       0.003968       0.003968
      8.338338       0.003958       0.003957       0.003959       0.003959
      8.378378       0.003948       0.003947       0.003949       0.003949
      8.418418       0.003938       0.003937       0.003938       0.003938
      8.458458       0.003926       0.003925       0.003926       0.003926
      8.498499       0.003913       0.003913       0.003914       0.003913
      8.538539       0.003900       0.003900       0.003900       0.003900
      8.578579       0.003886       0.003886       0.003886       0.003886
      8.618619       0.003871       0.003872       0.003871       0.003871
      8.658659       0.003856       0.003856       0.003855       0.003855
      8.698699       0.003840       0.003841       0.003839       0.003839
      8.738739       0.003824       0.003825       0.003823       0.003823
      8.778779       0.003807       0.003808       0.003806       0.003807
      8.818819       0.003790       0.003791       0.003789       0.003790
      8.858859       0.003773       0.003774       0.003772       0.003773
      8.898899       0.003756       0.003757       0.003755       0.003756
      8.938939       0.003739       0.003740       0.003738       0.003739
      8.978979       0.003722       0.003722       0.003721       0.003721
      9.019019       0.003704       0.003705       0.003704       0.003704
      9.059059       0.003687       0.003688       0.003687       0.003687
      9.099099       0.003670       0.003670       0.003670       0.003670
      9.139139       0.003654       0.003653       0.003654       0.003654
      9.179179       0.003637       0.003637       0.003637       0.003637
      9.219219       0.003621       0.003620       0.003622       0.003621
      9.259259       0.003605       0.003605       0.003606       0.003606
      9.299299       0.003590       0.003589       0.003591       0.003591
      9.339339       0.003576       0.003575       0.003577       0.003576
      9.379379       0.003562       0.003561       0.003563       0.003563
      9.419419       0.003550       0.003549       0.003550       0.003550
      9.459459       0.003538       0.003537       0.003539       0.003538
      9.499500       0.003527       0.003526       0.003528       0.003527
      9.539540       0.003517       0.003517       0.003518       0.003518
      9.579580       0.003509       0.003508       0.003509       0.003509
      9.619620       0.003502       0.003501       0.003502       0.003502
      9.659660       0.003495       0.003495       0.003496       0.003496
      9.699700       0.003490       0.003490       0.003490       0.003491
      9.739740       0.003487       0.003487       0.003487       0.003487
      9.779780       0.003484       0.003484       0.003484       0.003484
      9.819820       0.003482       0.003483       0.003482       0.003482
      9.859860       0.003482       0.003482       0.003481       0.003482
      9.899900       0.003482       0.003483       0.003482       0.003482
      9.939940       0.003484       0.003484       0.003483       0.003484
      9.979980       0.003486       0.003486       0.003485       0.003486
     10.020020       0.003488       0.003489       0.003488       0.003488
     10.060060       0.003492       0.003492       0.003491       0.003492
     10.100100       0.003495       0.003496       0.003495       0.003495
     10.140140       0.003499       0.003500       0.003499       0.003499
