# Funciones ópticas — Olla-DFT (promedio isótropo)
#      E(eV)         eps1         eps2          n          k    alpha(1/cm)          R
  4.186483e+00   2.653704e+01   3.440411e+01   5.915510e+00   2.907958e+00   1.233903e+06   5.795694e-01
  4.205257e+00   2.559945e+01   3.728974e+01   5.951075e+00   3.133025e+00   1.335365e+06   5.905221e-01
  4.224030e+00   2.376436e+01   4.050936e+01   5.946840e+00   3.405957e+00   1.458175e+06   6.026110e-01
  4.242804e+00   2.103436e+01   4.292787e+01   5.866797e+00   3.658544e+00   1.573275e+06   6.123551e-01
  4.261577e+00   1.807542e+01   4.403848e+01   5.730579e+00   3.842411e+00   1.659654e+06   6.183736e-01
  4.280350e+00   1.523227e+01   4.479516e+01   5.592245e+00   4.005114e+00   1.737552e+06   6.240421e-01
  4.299124e+00   1.221951e+01   4.540238e+01   5.442312e+00   4.171240e+00   1.817560e+06   6.304198e-01
  4.317897e+00   9.273574e+00   4.474841e+01   5.242747e+00   4.267649e+00   1.867689e+06   6.332764e-01
  4.336671e+00   7.176703e+00   4.320135e+01   5.048272e+00   4.278825e+00   1.880722e+06   6.321168e-01
  4.355444e+00   5.875811e+00   4.249668e+01   4.938460e+00   4.302624e+00   1.899369e+06   6.326772e-01
  4.374218e+00   4.338769e+00   4.319411e+01   4.886217e+00   4.419994e+00   1.959592e+06   6.392864e-01
  4.392991e+00   1.730521e+00   4.415710e+01   4.791739e+00   4.607628e+00   2.051546e+06   6.500751e-01
  4.411765e+00  -1.607172e+00   4.355251e+01   4.581211e+00   4.753384e+00   2.125489e+06   6.590383e-01
  4.430538e+00  -4.535475e+00   4.117524e+01   4.294695e+00   4.793733e+00   2.152652e+06   6.632515e-01
  4.449312e+00  -6.626622e+00   3.858726e+01   4.032710e+00   4.784284e+00   2.157512e+06   6.654570e-01
  4.468085e+00  -8.300913e+00   3.616091e+01   3.794768e+00   4.764575e+00   2.157690e+06   6.677884e-01
  4.486859e+00  -9.565328e+00   3.305892e+01   3.524884e+00   4.689364e+00   2.132553e+06   6.679705e-01
  4.505632e+00  -9.879113e+00   2.935071e+01   3.247276e+00   4.519282e+00   2.063805e+06   6.622985e-01
